
> alfi@0.0.0 dev
> vite --host 127.0.0.1 --port 5179


  VITE v5.4.21  ready in 727 ms

  ➜  Local:   http://127.0.0.1:5179/
2:09:12 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:18:18 PM [vite] page reload src/theme.ts
2:18:26 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:18:34 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:18:59 PM [vite] hmr update /src/login/parts.tsx
2:21:55 PM [vite] page reload dist/index.html
2:27:43 PM [vite] hmr update /src/components/Logo.tsx
2:33:04 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:36:41 PM [vite] hmr update /src/login/parts.tsx
2:36:56 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:37:14 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:39:33 PM [vite] hmr update /src/components/Logo.tsx
2:43:00 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:44:41 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:44:48 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:44:56 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:46:17 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:48:27 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:51:56 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:52:08 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:54:25 PM [vite] hmr update /src/dashboard/Dashboard.tsx
2:58:31 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:16:23 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:16:42 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:17:03 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:17:33 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:17:53 PM [vite] hmr update /src/dashboard/Dashboard.tsx
3:18:04 PM [vite] hmr update /src/dashboard/Dashboard.tsx
4:42:35 PM [vite] hmr update /src/App.tsx
5:59:08 PM [vite] hmr update /src/components/Logo.tsx
5:14:51 PM [vite] hmr update /src/login/variants.tsx
5:14:59 PM [vite] hmr update /src/login/variants.tsx
5:15:06 PM [vite] hmr update /src/App.tsx
5:15:15 PM [vite] hmr update /src/App.tsx
5:55:36 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:55:58 PM [vite] hmr update /src/dashboard/Dashboard.tsx
5:56:06 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:11:59 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:12:46 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:13:02 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:13:07 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:13:41 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:14:07 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:14:13 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:37:00 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:40:04 PM [vite] hmr update /src/dashboard/Dashboard.tsx
6:40:24 PM [vite] hmr update /src/dashboard/Dashboard.tsx
